spot,ville,region,url
No spot name,Soulac,Gironde,https://www.surf-report.com/meteo-surf/meteo-surf/soulac-s1080.html
No spot name,Biscarrosse,Landes,https://www.surf-report.com/meteo-surf/meteo-surf/biscarrosse-s1000.html
No spot name,Boucau Tarnos,Landes,https://www.surf-report.com/meteo-surf/meteo-surf/boucau-tarnos-s1001.html
No spot name,Capbreton,Landes,https://www.surf-report.com/meteo-surf/meteo-surf/capbreton-s1011.html
La Centrale,Capbreton,Landes,https://www.surf-report.com/meteo-surf/meteo-surf/la-centrale-capbreton-s1194.html
La Piste,Capbreton,Landes,https://www.surf-report.com/meteo-surf/meteo-surf/la-piste-capbreton-s1196.html
La Pointe,Capbreton,Landes,https://www.surf-report.com/meteo-surf/meteo-surf/la-pointe-capbreton-s1198.html
Le Prévent,Capbreton,Landes,https://www.surf-report.com/meteo-surf/meteo-surf/le-prevent-capbreton-s1195.html
Santocha,Capbreton,Landes,https://www.surf-report.com/meteo-surf/meteo-surf/santocha-capbreton-s1099.html
VVF,Capbreton,Landes,https://www.surf-report.com/meteo-surf/meteo-surf/vvf-capbreton-s1197.html
La Centrale,Hossegor,Landes,https://www.surf-report.com/meteo-surf/meteo-surf/hossegor-centrale-s1192.html
La Gravière,Hossegor,Landes,https://www.surf-report.com/meteo-surf/meteo-surf/la-graviere-hossegor-s1191.html
La Nord,Hossegor,Landes,https://www.surf-report.com/meteo-surf/meteo-surf/la-nord-hossegor-s68.html
La Sud,Hossegor,Landes,https://www.surf-report.com/meteo-surf/meteo-surf/la-sud-hossegor-s1193.html
Les Culs Nus,Hossegor,Landes,https://www.surf-report.com/meteo-surf/meteo-surf/les-culs-nus-hossegor-s1190.html
No spot name,Labenne,Landes,https://www.surf-report.com/meteo-surf/meteo-surf/labenne-s1042.html
Plage Centrale,Labenne,Landes,https://www.surf-report.com/meteo-surf/meteo-surf/plage-centrale-labenne-s1199.html
Cap De L'homy,Lit Et Mixe,Landes,https://www.surf-report.com/meteo-surf/meteo-surf/cap-homy-lit-mixe-s1009.html
Lespecier,Mimizan,Landes,https://www.surf-report.com/meteo-surf/meteo-surf/lespecier-s1186.html
No spot name,Mimizan,Landes,https://www.surf-report.com/meteo-surf/meteo-surf/mimizan-s1062.html
MolietsPlage Des Chenes Lièges,Moliets Et Maa,Landes,https://www.surf-report.com/meteo-surf/meteo-surf/moliets-plage-chenes-lieges-s1063.html
MolietsPlage La Centrale,Moliets Et Maa,Landes,https://www.surf-report.com/meteo-surf/meteo-surf/moliets-plage-centrale-s102799.html
No spot name,Ondres,Landes,https://www.surf-report.com/meteo-surf/meteo-surf/ondres-s1200.html
No spot name,St Girons,Landes,https://www.surf-report.com/meteo-surf/meteo-surf/saint-girons-s1083.html
Contis Plage,St Julien En Born,Landes,https://www.surf-report.com/meteo-surf/meteo-surf/contis-plage-s1015.html
Le Penon,Seignosse,Landes,https://www.surf-report.com/meteo-surf/meteo-surf/le-penon-seignosse-s1188.html
Les Bourdaines,Seignosse,Landes,https://www.surf-report.com/meteo-surf/meteo-surf/les-bourdaines-seignosse-s1189.html
Les Casernes,Seignosse,Landes,https://www.surf-report.com/meteo-surf/meteo-surf/les-casernes-seignosse-s1187.html
Les Estagnots,Seignosse,Landes,https://www.surf-report.com/meteo-surf/meteo-surf/les-estagnots-seignosse-s1056.html
No spot name,Seignosse,Landes,https://www.surf-report.com/meteo-surf/meteo-surf/seignosse-s1078.html
La Digue,Tarnos,Landes,https://www.surf-report.com/meteo-surf/meteo-surf/la-digue-tarnos-s1202.html
Le Métro,Tarnos,Landes,https://www.surf-report.com/meteo-surf/meteo-surf/le-metro-tarnos-s1201.html
No spot name,Tarnos,Landes,https://www.surf-report.com/meteo-surf/meteo-surf/tarnos-s1100.html
Messanges,Vieux Boucau,Landes,https://www.surf-report.com/meteo-surf/meteo-surf/messanges-s1061.html
Soustons,Vieux Boucau,Landes,https://www.surf-report.com/meteo-surf/meteo-surf/soustons-s1081.html
No spot name,Vieux Boucau,Landes,https://www.surf-report.com/meteo-surf/meteo-surf/vieux-boucau-s1090.html
La Barre,Anglet,pays-basque,https://www.surf-report.com/meteo-surf/meteo-surf/la-barre-anglet-s1203.html
La Madrague,Anglet,pays-basque,https://www.surf-report.com/meteo-surf/meteo-surf/la-madrague-anglet-s1205.html
Le Club,Anglet,pays-basque,https://www.surf-report.com/meteo-surf/meteo-surf/le-club-anglet-s1208.html
Les Cavaliers,Anglet,pays-basque,https://www.surf-report.com/meteo-surf/meteo-surf/les-cavaliers-anglet-s1204.html
Les Corsaires,Anglet,pays-basque,https://www.surf-report.com/meteo-surf/meteo-surf/les-corsaires-anglet-s1206.html
Les Sables D'or,Anglet,pays-basque,https://www.surf-report.com/meteo-surf/meteo-surf/les-sables-anglet-s1059.html
Marinella,Anglet,pays-basque,https://www.surf-report.com/meteo-surf/meteo-surf/marinella-anglet-s1207.html
Plage De L'océan,Anglet,pays-basque,https://www.surf-report.com/meteo-surf/meteo-surf/plage-ocean-anglet-s102794.html
VVF,Anglet,pays-basque,https://www.surf-report.com/meteo-surf/meteo-surf/vvf-anglet-s1209.html
Grande Plage,Biarritz,pays-basque,https://www.surf-report.com/meteo-surf/meteo-surf/biarritz-grande-plage-s998.html
Côte Des Basques,Biarritz,pays-basque,https://www.surf-report.com/meteo-surf/meteo-surf/cote-basques-biarritz-s1093.html
La Milady,Biarritz,pays-basque,https://www.surf-report.com/meteo-surf/meteo-surf/la-milady-biarritz-s1211.html
Marbella,Biarritz,pays-basque,https://www.surf-report.com/meteo-surf/meteo-surf/marbella-biarritz-s1210.html
No spot name,Bidart,pays-basque,https://www.surf-report.com/meteo-surf/meteo-surf/bidart-s999.html
Centre,Bidart,pays-basque,https://www.surf-report.com/meteo-surf/meteo-surf/centre-bidart-s1214.html
Erretegia,Bidart,pays-basque,https://www.surf-report.com/meteo-surf/meteo-surf/erretegia-bidart-s1213.html
Ilbarritz,Bidart,pays-basque,https://www.surf-report.com/meteo-surf/meteo-surf/ilbarritz-bidart-s1212.html
Parlementia,Bidart,pays-basque,https://www.surf-report.com/meteo-surf/meteo-surf/parlementia-bidart-s1026.html
Uhabia,Bidart,pays-basque,https://www.surf-report.com/meteo-surf/meteo-surf/uhabia-bidart-s1215.html
Belharra,Ciboure,pays-basque,https://www.surf-report.com/meteo-surf/meteo-surf/belharra-s997.html
Socoa,Ciboure,pays-basque,https://www.surf-report.com/meteo-surf/meteo-surf/socoa-s1221.html
Avalanche / Les Alcyons,Guethary,pays-basque,https://www.surf-report.com/meteo-surf/meteo-surf/avalanche-alcyons-guethary-s1216.html
Cenitz,Guethary,pays-basque,https://www.surf-report.com/meteo-surf/meteo-surf/cenitz-guethary-s1217.html
No spot name,Hendaye,pays-basque,https://www.surf-report.com/meteo-surf/meteo-surf/hendaye-s1027.html
Vanthrax,Hendaye,pays-basque,https://www.surf-report.com/meteo-surf/meteo-surf/vanthrax-hendaye-s1087.html
Erromardie,St Jean De Luz,pays-basque,https://www.surf-report.com/meteo-surf/meteo-surf/erromardie-s1021.html
Lafitenia,St Jean De Luz,pays-basque,https://www.surf-report.com/meteo-surf/meteo-surf/lafitenia-saint-jean-luz-s1218.html
No spot name,St Jean De Luz,pays-basque,https://www.surf-report.com/meteo-surf/meteo-surf/saint-jean-luz-s1091.html
Cap D'Agde,Agde,golfe-lion,https://www.surf-report.com/meteo-surf/meteo-surf/cap-agde-s102798.html
No spot name,Canet En Roussillon,golfe-lion,https://www.surf-report.com/meteo-surf/meteo-surf/canet-roussillon-s1006.html
No spot name,Palavas Les Flots,golfe-lion,https://www.surf-report.com/meteo-surf/meteo-surf/palavas-flots-s1066.html
No spot name,Cannes,cote-dazur,https://www.surf-report.com/meteo-surf/meteo-surf/cannes-s1007.html
